Production_ID,Production_DateTime,Production_Date,Production_Hour,Production_Week,Production_Month,Shift_Type,Production_Line,Product_Type,Batch_Number,Machine_ID,Machine_Temperature,Machine_Run_Time,Downtime_Minutes,Maintenance_Status,Power_Consumption,Operator_ID,Operator_Experience,Shift_Hours,Material_Type,Material_Quality,Supplier_ID,Inventory_Level,Production_Target,Actual_Output,Production_Efficiency,Cycle_Time,Defect_Count,Rejection_Count,Factory_Temperature,Humidity_Level,Noise_Level
3000,2025-09-26 15:24:57.973205,2025-09-26,15,39,9,B,Line-3,PCB,BATCH-7203,M-104,71.88,14,71,Done,28.08,1037,10.0,8,Plastic,High,222,975.0,589,1024,82.19,1.9,18,3,28.61,59.6,63.35
3001,2026-03-20 06:28:57.973205,2026-03-20,6,12,3,A,Line-1,PCB,BATCH-1635,M-102,87.89,7,100,Done,49.22,1025,5.0,11,Copper,Low,215,983.0,478,1090,93.48,3.48,2,0,23.85,37.19,105.9
3002,2025-11-27 03:23:57.973205,2025-11-27,3,48,11,A,Line-3,Microchip,BATCH-2251,M-101,67.83,18,0,Done,37.73,1030,1.0,11,Silicon,High,228,489.0,504,459,99.13,4.58,2,2,24.55,71.46,101.55
3003,2026-03-09 14:12:57.973205,2026-03-09,14,11,3,B,Line-2,Sensor,BATCH-6660,M-102,53.65,23,45,Done,17.33,1012,3.0,12,Copper,High,238,593.0,1160,778,67.1,3.78,17,9,25.32,49.89,89.2
3004,2025-12-25 00:11:57.973205,2025-12-25,0,52,12,C,Line-3,PCB,BATCH-9861,M-104,112.85,8,65,Done,23.5,1001,14.0,10,Silicon,Medium,221,369.0,978,781,62.81,3.0,9,0,31.75,56.41,76.86
3005,2025-06-30 08:22:57.973205,2025-06-30,8,27,6,C,Line-1,PCB,BATCH-7893,M-104,110.74,13,27,Pending,17.93,1017,12.0,10,Copper,Low,218,,878,422,61.06,0.66,11,2,34.25,69.52,102.23
3006,2025-06-16 19:40:57.973205,2025-06-16,19,25,6,C,Line-2,PCB,BATCH-6245,M-102,109.32,16,32,Pending,46.81,1011,10.0,12,Copper,Low,221,780.0,493,663,95.79,1.15,4,6,39.38,44.63,63.55
3007,2025-09-29 17:24:57.973205,2025-09-29,17,40,9,A,Line-2,PCB,BATCH-5600,M-101,58.64,21,62,Done,49.49,1017,5.0,7,Plastic,Low,219,610.0,817,388,84.54,1.23,14,9,29.12,56.6,91.44
3008,2025-07-17 10:51:57.973205,2025-07-17,10,29,7,C,Line-3,PCB,BATCH-3482,M-102,99.72,16,11,Pending,16.18,1001,9.0,10,Plastic,Low,234,431.0,1043,260,81.3,1.08,9,7,22.97,70.28,104.44
3009,2025-11-22 01:11:57.973205,2025-11-22,1,47,11,B,Line-1,Sensor,BATCH-0103,M-104,109.63,14,101,Done,54.77,1015,13.0,9,Plastic,Medium,209,886.0,560,1029,93.43,4.87,0,1,31.8,36.62,96.53
3010,2026-02-18 08:37:57.973205,2026-02-18,8,8,2,C,Line-3,Microchip,BATCH-8568,M-102,79.15,9,80,Pending,28.14,1027,7.0,10,Copper,Medium,229,932.0,759,1038,62.23,4.73,8,0,27.66,59.56,73.67
3011,2025-07-07 13:39:57.973205,2025-07-07,13,28,7,B,Line-2,PCB,BATCH-6527,M-103,108.01,21,17,Pending,16.99,1030,11.0,6,Silicon,High,220,965.0,954,376,86.16,1.63,3,7,35.87,65.76,54.31
3012,2026-03-05 16:33:57.973205,2026-03-05,16,10,3,C,Line-3,Microchip,BATCH-6893,M-101,120.0,15,85,Done,54.27,1047,12.0,6,Plastic,Low,246,448.0,741,511,62.47,1.47,16,6,31.59,30.6,63.02
3013,2026-03-28 19:59:57.973205,2026-03-28,19,13,3,B,Line-2,Sensor,BATCH-2724,M-103,79.03,7,115,Done,50.33,1018,1.0,11,Silicon,Low,240,813.0,995,1042,98.96,4.55,6,4,23.84,66.25,88.66
3014,2026-05-02 12:20:57.973205,2026-05-02,12,18,5,B,Line-1,Microchip,BATCH-4332,M-104,75.72,20,50,Pending,26.36,1021,15.0,8,Silicon,High,233,447.0,684,906,94.6,1.86,2,10,29.09,56.49,106.59
3015,2025-07-09 02:00:57.973205,2025-07-09,2,28,7,C,Line-3,PCB,BATCH-5516,M-102,65.31,12,25,Pending,44.83,1045,2.0,7,Silicon,Medium,245,,893,269,82.43,0.91,6,5,21.46,36.63,107.79
3016,2025-09-29 02:17:57.973205,2025-09-29,2,40,9,C,Line-1,PCB,BATCH-6455,M-102,80.9,13,25,Done,56.51,1049,13.0,11,Plastic,Low,219,363.0,588,253,99.86,2.9,5,6,36.43,52.47,69.39
3017,2025-09-23 06:28:57.973205,2025-09-23,6,39,9,B,Line-1,Sensor,BATCH-9826,M-101,70.94,7,64,Done,18.29,1015,13.0,6,Silicon,High,205,541.0,741,760,65.12,4.22,6,1,25.97,61.19,116.59
3018,2026-03-29 23:11:57.973205,2026-03-29,23,13,3,C,Line-3,PCB,BATCH-4060,M-101,67.42,17,36,Pending,27.05,1005,6.0,12,Copper,High,208,395.0,812,535,67.1,3.29,12,8,38.29,55.34,75.37
3019,2026-04-07 00:28:57.973205,2026-04-07,0,15,4,C,Line-2,Sensor,BATCH-9455,M-104,77.82,20,58,,28.53,1014,10.0,9,Copper,Low,238,570.0,1002,863,96.87,3.99,4,0,26.04,68.07,101.38
3020,2026-04-30 17:57:57.973205,2026-04-30,17,18,4,C,Line-1,Sensor,BATCH-9831,M-104,,24,46,Done,33.92,1003,3.0,7,Silicon,Medium,215,761.0,764,630,77.85,1.87,5,4,21.24,56.42,91.86
3021,2026-02-10 22:47:57.973205,2026-02-10,22,7,2,A,Line-3,PCB,BATCH-4361,M-101,83.84,6,62,,37.51,1001,15.0,9,Copper,Low,207,983.0,971,1040,93.36,1.58,20,1,31.39,79.49,106.85
3022,2025-09-29 09:26:57.973205,2025-09-29,9,40,9,A,Line-2,Microchip,BATCH-0462,M-101,105.52,14,38,Done,48.64,1045,14.0,6,Plastic,Low,240,588.0,910,734,87.6,2.59,9,4,20.61,48.56,85.93
3023,2026-05-06 23:22:57.973205,2026-05-06,23,19,5,A,Line-3,PCB,BATCH-3460,M-104,52.67,14,110,Pending,26.77,1013,14.0,8,Silicon,High,219,152.0,552,517,85.24,2.96,4,9,35.33,65.15,94.49
3024,2026-05-15 01:36:57.973205,2026-05-15,1,20,5,A,Line-1,Microchip,BATCH-7530,M-101,106.46,21,40,Pending,16.81,1010,14.0,7,Copper,High,230,648.0,1064,363,87.07,2.75,9,0,23.6,45.39,56.33
3025,2025-10-21 00:15:57.973205,2025-10-21,0,43,10,C,Line-1,PCB,BATCH-9220,M-104,74.82,20,3,Done,29.67,1012,7.0,12,Copper,High,227,692.0,749,536,82.63,2.61,2,4,21.71,51.2,108.43
3026,2025-11-23 14:06:57.973205,2025-11-23,14,47,11,C,Line-3,Sensor,BATCH-2249,M-103,119.89,5,104,Pending,30.28,1025,9.0,11,Silicon,Medium,234,938.0,712,841,92.16,4.18,2,10,31.36,67.73,118.63
3027,2025-09-27 04:08:57.973205,2025-09-27,4,39,9,B,Line-3,PCB,BATCH-9541,M-102,92.67,12,117,Done,55.34,1022,13.0,10,Silicon,Low,248,290.0,1065,647,74.79,3.06,8,5,37.72,55.35,91.74
3028,2025-08-12 02:32:57.973205,2025-08-12,2,33,8,A,Line-2,PCB,BATCH-6884,M-102,109.09,16,81,Pending,45.89,1021,1.0,12,Copper,High,248,,339,630,88.2,1.62,17,8,26.29,56.16,108.11
3029,2026-05-03 04:49:57.973205,2026-05-03,4,18,5,A,Line-1,Microchip,BATCH-2564,M-101,88.8,16,11,Pending,37.1,1004,1.0,11,Copper,High,214,150.0,402,742,77.56,2.7,0,7,30.47,33.99,117.36
3030,2025-09-14 17:29:57.973205,2025-09-14,17,37,9,C,Line-3,Microchip,BATCH-2071,M-101,86.25,21,60,Pending,15.19,1018,8.0,11,Plastic,Low,215,991.0,945,823,80.23,0.76,1,0,33.87,41.47,57.52
3031,2026-02-15 07:22:57.973205,2026-02-15,7,7,2,C,Line-3,PCB,BATCH-8798,M-103,85.25,17,13,Pending,48.23,1047,3.0,10,Silicon,High,220,265.0,413,471,78.25,0.92,5,7,31.37,47.45,99.71
3032,2025-12-12 19:23:57.973205,2025-12-12,19,50,12,C,Line-2,PCB,BATCH-8566,M-101,115.98,23,97,Done,49.23,1036,5.0,7,Plastic,Medium,233,223.0,386,950,97.32,2.25,14,7,33.4,42.06,111.62
3033,2025-05-29 05:57:57.973205,2025-05-29,5,22,5,B,Line-3,PCB,BATCH-5464,M-104,66.45,15,33,Done,41.73,1036,11.0,8,Plastic,Low,215,261.0,340,341,98.81,4.34,2,10,24.95,68.78,88.14
3034,2026-01-16 20:35:57.973205,2026-01-16,20,3,1,C,Line-2,Microchip,BATCH-9321,M-102,56.37,14,63,Done,46.91,1024,3.0,12,Silicon,High,240,223.0,1091,485,79.84,3.94,11,0,34.05,42.02,52.91
3035,2025-05-25 22:16:57.973205,2025-05-25,22,21,5,C,Line-2,PCB,BATCH-8060,M-104,111.91,16,51,Done,23.92,1039,5.0,12,Silicon,High,232,457.0,710,933,88.54,4.25,10,4,31.52,39.48,95.42
3036,2025-06-06 19:47:57.973205,2025-06-06,19,23,6,A,Line-2,Microchip,BATCH-7232,M-104,80.15,14,62,Done,19.38,1049,10.0,7,Silicon,High,225,661.0,591,349,81.39,1.11,10,0,23.97,33.07,71.72
3037,2025-08-16 00:20:57.973205,2025-08-16,0,33,8,B,Line-1,Sensor,BATCH-5804,M-103,82.09,20,105,Done,16.72,1019,12.0,11,Copper,Low,244,911.0,557,983,97.95,2.85,8,7,39.95,35.48,81.46
3038,2025-06-09 07:13:57.973205,2025-06-09,7,24,6,A,Line-1,PCB,BATCH-7987,M-102,119.38,24,23,Done,39.84,1043,15.0,12,Copper,Low,229,,778,579,68.33,4.42,14,1,31.99,71.67,90.75
3039,2025-10-13 21:35:57.973205,2025-10-13,21,42,10,A,Line-2,PCB,BATCH-0778,M-104,54.11,10,97,Pending,29.86,1031,14.0,7,Silicon,Low,242,,859,867,95.96,3.47,5,4,25.58,40.06,80.51
3040,2025-11-21 01:36:57.973205,2025-11-21,1,47,11,C,Line-1,PCB,BATCH-3518,M-103,,24,0,Pending,24.97,1049,1.0,9,Copper,High,235,791.0,385,980,87.86,4.28,6,9,35.45,54.07,73.13
3041,2025-12-11 18:29:57.973205,2025-12-11,18,50,12,C,Line-3,Sensor,BATCH-2708,M-101,57.07,5,104,Done,36.13,1018,11.0,9,Silicon,Low,241,472.0,730,1008,80.59,4.6,13,7,21.25,75.31,105.27
3042,2025-06-29 11:40:57.973205,2025-06-29,11,26,6,A,Line-1,Microchip,BATCH-3779,M-102,109.86,13,69,Done,18.11,1019,13.0,8,Copper,High,234,372.0,787,924,84.69,4.72,16,7,38.97,43.06,88.78
3043,2025-08-25 02:34:57.973205,2025-08-25,2,35,8,B,Line-1,Microchip,BATCH-1583,M-104,102.91,18,68,Pending,25.67,1049,3.0,11,Copper,High,217,364.0,1091,815,98.09,1.31,16,1,30.68,68.88,104.92
3044,2026-03-18 20:22:57.973205,2026-03-18,20,12,3,C,Line-2,Sensor,BATCH-6479,M-104,51.08,14,120,Done,39.51,1028,3.0,8,Plastic,High,234,954.0,740,1068,82.09,3.03,18,9,32.67,70.85,101.92
3045,2025-08-03 07:28:57.973205,2025-08-03,7,31,8,B,Line-1,Microchip,BATCH-7569,M-104,67.65,5,3,Pending,56.21,1031,7.0,12,Copper,High,206,409.0,411,200,68.39,4.42,13,0,29.48,77.18,61.28
3046,2025-07-28 06:49:57.973205,2025-07-28,6,31,7,B,Line-1,Microchip,BATCH-7194,M-101,102.89,10,87,Pending,57.81,1025,3.0,6,Plastic,Medium,217,170.0,437,899,91.68,0.96,18,3,28.2,46.01,112.37
3047,2025-08-21 17:10:57.973205,2025-08-21,17,34,8,B,Line-1,Sensor,BATCH-0781,M-104,69.93,9,35,Pending,16.73,1025,4.0,12,Silicon,Medium,244,882.0,479,732,64.22,3.04,0,3,39.45,42.1,108.71
3048,2026-01-13 00:54:57.973205,2026-01-13,0,3,1,B,Line-2,Sensor,BATCH-6152,M-102,52.86,10,50,Done,38.82,1012,14.0,7,Silicon,Low,229,395.0,785,850,68.36,4.24,19,1,27.26,59.86,78.38
3049,2026-01-16 05:02:57.973205,2026-01-16,5,3,1,C,Line-1,Sensor,BATCH-4804,M-103,84.59,24,24,Pending,49.77,1034,3.0,12,Copper,High,233,820.0,1114,929,94.59,0.9,19,2,38.32,74.41,76.32
3050,2025-09-02 13:36:57.973205,2025-09-02,13,36,9,C,Line-3,PCB,BATCH-4695,M-104,95.3,10,109,Pending,32.74,1006,3.0,6,Silicon,Medium,231,524.0,653,272,79.17,1.13,4,7,37.09,35.05,88.39
3051,2026-04-16 22:48:57.973205,2026-04-16,22,16,4,B,Line-2,Sensor,BATCH-8199,M-102,73.67,21,34,Pending,49.72,1031,12.0,6,Silicon,Medium,237,,825,1055,92.22,0.53,3,7,23.87,67.15,104.97
3052,2025-08-07 00:22:57.973205,2025-08-07,0,32,8,B,Line-1,Microchip,BATCH-9324,M-104,107.06,23,66,Done,43.72,1031,15.0,6,Silicon,Low,227,521.0,1018,779,61.5,2.56,11,4,27.55,40.05,53.02
3053,2025-09-30 01:28:57.973205,2025-09-30,1,40,9,B,Line-1,PCB,BATCH-5325,M-104,62.3,9,11,Pending,20.34,1020,12.0,6,Plastic,Low,226,860.0,704,302,95.53,4.62,11,6,26.03,52.83,81.81
3054,2025-10-15 18:11:57.973205,2025-10-15,18,42,10,A,Line-3,Microchip,BATCH-3326,M-103,118.35,12,97,Pending,51.7,1018,15.0,8,Copper,Medium,231,332.0,439,295,70.7,0.88,0,5,20.96,72.16,84.63
3055,2026-01-08 16:36:57.973205,2026-01-08,16,2,1,C,Line-2,Microchip,BATCH-0452,M-101,91.13,6,65,Pending,35.39,1023,9.0,11,Silicon,Low,225,625.0,333,871,74.23,1.43,4,4,22.57,47.27,98.93
3056,2026-01-06 21:51:57.973205,2026-01-06,21,2,1,B,Line-3,Sensor,BATCH-9293,M-102,67.24,16,12,Done,31.51,1021,9.0,7,Plastic,Medium,218,936.0,431,815,89.84,4.9,20,2,26.95,37.86,56.75
3057,2025-10-03 12:46:57.973205,2025-10-03,12,40,10,C,Line-3,PCB,BATCH-8315,M-102,119.21,10,21,Pending,47.43,1042,4.0,10,Copper,High,241,508.0,1114,1089,98.64,2.29,3,0,33.91,34.05,74.8
3058,2026-04-26 00:39:57.973205,2026-04-26,0,17,4,C,Line-2,PCB,BATCH-2855,M-101,87.12,17,88,Done,58.17,1046,12.0,8,Copper,High,237,639.0,989,1100,87.84,4.85,18,10,37.3,76.24,90.73
3059,2025-11-21 01:02:57.973205,2025-11-21,1,47,11,B,Line-1,PCB,BATCH-2592,M-104,85.4,22,109,Done,45.05,1010,6.0,6,Plastic,Medium,226,717.0,761,941,72.33,2.9,7,8,21.48,47.81,81.36
3060,2025-07-04 09:12:57.973205,2025-07-04,9,27,7,A,Line-1,PCB,BATCH-8241,M-101,100.63,22,21,Done,36.23,1004,10.0,12,Copper,Low,223,848.0,867,785,73.47,4.79,5,6,33.46,38.63,51.52
3061,2026-02-22 15:49:57.973205,2026-02-22,15,8,2,C,Line-3,Sensor,BATCH-8887,M-102,85.43,12,80,Pending,19.27,1017,8.0,12,Copper,High,247,363.0,627,893,96.29,3.74,13,3,38.73,42.57,116.39
3062,2025-07-19 07:04:57.973205,2025-07-19,7,29,7,B,Line-3,Microchip,BATCH-6017,M-103,88.67,6,68,Pending,44.53,1024,1.0,6,Silicon,Medium,206,208.0,486,869,83.23,4.91,17,9,21.61,60.16,92.19
3063,2026-01-02 15:50:57.973205,2026-01-02,15,1,1,C,Line-2,PCB,BATCH-8823,M-102,62.81,24,44,Done,24.24,1023,13.0,6,Silicon,Medium,211,416.0,712,295,98.61,2.6,1,0,25.5,44.65,88.19
3064,2026-04-20 05:29:57.973205,2026-04-20,5,17,4,C,Line-1,Microchip,BATCH-8458,M-103,96.69,17,57,Pending,38.07,1027,4.0,12,Copper,High,205,831.0,1078,253,93.62,1.24,11,3,39.44,64.14,115.83
3065,2026-01-17 19:40:57.973205,2026-01-17,19,3,1,C,Line-1,Microchip,BATCH-2679,M-102,55.59,10,33,Pending,34.07,1016,9.0,7,Copper,Medium,228,581.0,309,721,97.16,2.36,8,8,32.56,32.9,74.52
3066,2025-08-10 02:22:57.973205,2025-08-10,2,32,8,A,Line-3,Sensor,BATCH-3434,M-103,65.86,11,104,Pending,28.16,1049,12.0,6,Plastic,Low,202,,662,955,77.81,1.78,17,6,25.13,73.53,63.41
3067,2025-09-30 11:27:57.973205,2025-09-30,11,40,9,A,Line-2,Microchip,BATCH-0144,M-102,,15,120,Pending,26.3,1016,11.0,7,Plastic,High,245,335.0,398,680,86.14,4.72,8,7,37.7,76.42,68.82
3068,2026-01-03 16:50:57.973205,2026-01-03,16,1,1,B,Line-2,PCB,BATCH-1301,M-101,50.4,15,77,Done,47.78,1004,15.0,12,Plastic,Low,200,491.0,383,541,77.37,4.46,14,9,26.81,52.25,57.94
3069,2025-08-11 14:36:57.973205,2025-08-11,14,33,8,B,Line-1,Sensor,BATCH-8148,M-102,75.14,20,21,Pending,36.22,1039,4.0,9,Plastic,High,218,195.0,910,379,89.45,3.94,7,0,38.99,51.25,73.09
3070,2026-04-02 15:20:57.973205,2026-04-02,15,14,4,B,Line-1,Sensor,BATCH-4026,M-104,60.8,13,47,Pending,55.21,1033,1.0,11,Plastic,Medium,235,526.0,1091,749,99.75,2.96,12,5,38.94,51.36,55.12
3071,2025-08-01 12:21:57.973205,2025-08-01,12,31,8,A,Line-3,PCB,BATCH-0988,M-103,69.84,19,115,Done,37.49,1002,5.0,9,Plastic,Medium,217,680.0,1113,481,68.07,2.44,9,9,21.39,34.31,73.91
3072,2025-10-28 10:22:57.973205,2025-10-28,10,44,10,B,Line-3,Sensor,BATCH-2368,M-101,68.73,23,55,Done,52.38,1049,11.0,8,Silicon,Medium,223,974.0,740,309,65.61,4.15,8,10,34.14,62.2,117.77
3073,2026-04-14 08:03:57.973205,2026-04-14,8,16,4,A,Line-3,PCB,BATCH-1759,M-104,113.41,21,66,Done,25.98,1034,1.0,12,Copper,Low,231,644.0,437,810,66.06,3.76,19,7,35.35,37.13,70.44
3074,2025-12-12 02:50:57.973205,2025-12-12,2,50,12,A,Line-3,PCB,BATCH-3536,M-103,64.36,6,55,Done,30.87,1001,6.0,11,Copper,High,225,635.0,516,962,82.4,1.34,8,9,23.55,51.55,114.68
3075,2025-12-13 14:25:57.973205,2025-12-13,14,50,12,B,Line-1,PCB,BATCH-5037,M-102,115.24,8,85,Pending,47.42,1043,6.0,12,Plastic,High,206,165.0,333,1006,81.52,0.86,17,10,32.52,41.01,71.47
3076,2026-01-01 20:59:57.973205,2026-01-01,20,1,1,A,Line-1,PCB,BATCH-5390,M-104,110.83,5,76,Done,30.03,1039,7.0,11,Copper,Low,203,617.0,950,737,82.28,0.76,1,9,33.74,39.76,80.56
3077,2025-09-05 14:22:57.973205,2025-09-05,14,36,9,B,Line-2,Sensor,BATCH-6165,M-103,105.54,19,87,Pending,18.82,1049,5.0,11,Copper,Medium,206,702.0,687,542,96.61,2.05,7,5,39.9,69.15,112.72
3078,2025-10-19 14:28:57.973205,2025-10-19,14,42,10,B,Line-1,Microchip,BATCH-3157,M-103,76.36,10,92,Done,33.9,1035,9.0,10,Copper,Medium,235,527.0,1067,813,74.2,1.19,12,5,33.61,68.25,73.71
3079,2026-03-21 11:09:57.973205,2026-03-21,11,12,3,B,Line-1,Microchip,BATCH-2965,M-104,109.93,5,79,Done,52.78,1038,,12,Copper,Low,202,149.0,726,382,68.64,1.67,19,7,23.2,56.77,58.08
3080,2026-04-18 12:30:57.973205,2026-04-18,12,16,4,A,Line-1,Sensor,BATCH-8722,M-101,118.48,14,16,Pending,33.51,1040,6.0,8,Plastic,Medium,224,649.0,521,710,94.72,0.95,6,3,30.23,42.74,50.94
3081,2025-07-06 20:46:57.973205,2025-07-06,20,27,7,B,Line-1,Microchip,BATCH-8954,M-103,112.45,18,83,Pending,37.86,1031,7.0,9,Silicon,Low,202,186.0,1089,624,87.45,2.9,1,5,26.09,61.55,58.12
3082,2025-07-05 15:45:57.973205,2025-07-05,15,27,7,B,Line-1,PCB,BATCH-9202,M-102,85.2,15,38,Pending,57.64,1032,11.0,9,Copper,High,221,231.0,1161,315,85.78,1.13,13,4,22.49,63.75,59.15
3083,2026-02-08 06:26:57.973205,2026-02-08,6,6,2,A,Line-1,PCB,BATCH-3626,M-102,59.66,17,55,Pending,24.76,1029,15.0,10,Copper,High,238,618.0,392,415,75.2,2.51,18,7,24.88,73.19,52.0
3084,2025-11-12 13:25:57.973205,2025-11-12,13,46,11,A,Line-3,PCB,BATCH-6273,M-102,112.28,21,110,Pending,51.66,1002,14.0,8,Silicon,Medium,213,181.0,1198,564,64.16,3.47,2,3,22.17,47.43,88.24
3085,2026-02-15 13:04:57.973205,2026-02-15,13,7,2,C,Line-1,PCB,BATCH-3274,M-104,102.0,15,83,Pending,36.5,1006,13.0,12,Copper,Medium,238,403.0,424,219,88.11,3.79,17,2,35.09,34.49,102.74
3086,2025-10-03 11:41:57.973205,2025-10-03,11,40,10,C,Line-2,Microchip,BATCH-3652,M-103,,23,50,Pending,44.37,1050,6.0,8,Copper,Medium,202,,974,492,96.71,3.14,20,0,38.02,34.37,96.68
3087,2025-10-31 09:17:57.973205,2025-10-31,9,44,10,C,Line-1,Sensor,BATCH-5313,M-102,200.0,8,31,Pending,51.67,1009,14.0,8,Copper,Medium,212,480.0,865,914,87.38,4.52,19,10,21.42,44.52,89.25
3088,2025-11-18 00:43:57.973205,2025-11-18,0,47,11,B,Line-1,Sensor,BATCH-8387,M-104,200.0,14,28,Done,47.74,1045,3.0,8,Plastic,Medium,200,344.0,886,414,89.08,4.85,5,3,35.23,39.72,99.28
3089,2025-08-22 12:39:57.973205,2025-08-22,12,34,8,C,Line-1,PCB,BATCH-7270,M-101,66.09,19,87,Done,33.5,1020,2.0,8,Copper,Medium,215,988.0,1079,325,80.11,1.44,6,9,21.25,37.27,76.33
3090,2025-10-16 06:01:57.973205,2025-10-16,6,42,10,A,Line-2,Microchip,BATCH-5828,M-101,84.6,21,30,Done,52.49,1006,6.0,12,Silicon,Medium,225,451.0,605,652,98.58,1.68,11,8,28.11,34.4,78.67
3091,2025-07-12 19:27:57.973205,2025-07-12,19,28,7,C,Line-1,Sensor,BATCH-5974,M-102,78.47,19,6,Pending,43.46,1014,11.0,10,Plastic,High,222,347.0,949,604,89.96,1.21,20,2,22.42,55.81,102.75
3092,2026-02-13 23:23:57.973205,2026-02-13,23,7,2,B,Line-3,PCB,BATCH-3965,M-103,79.51,20,80,Pending,36.05,1007,6.0,9,Copper,Low,250,851.0,915,497,93.05,1.3,9,5,27.44,61.0,89.75
3093,2025-09-21 00:15:57.973205,2025-09-21,0,38,9,B,Line-1,PCB,BATCH-0838,M-102,88.8,7,6,Pending,30.01,1035,4.0,11,Copper,High,220,508.0,1104,454,98.97,1.56,3,3,23.22,45.18,61.61
3094,2025-09-16 17:29:57.973205,2025-09-16,17,38,9,B,Line-2,Microchip,BATCH-1331,M-103,69.91,11,104,Pending,25.02,1045,12.0,6,Copper,Low,240,698.0,930,861,60.57,0.72,11,9,21.53,58.1,79.0
3095,2026-04-11 11:53:57.973205,2026-04-11,11,15,4,C,Line-3,Sensor,BATCH-8485,M-104,109.55,10,72,Done,58.7,1016,8.0,7,Copper,Medium,222,804.0,1081,728,77.4,1.68,7,8,32.23,45.98,50.3
3096,2025-07-26 10:30:57.973205,2025-07-26,10,30,7,C,Line-2,PCB,BATCH-6064,M-104,99.1,13,52,Pending,20.03,1037,9.0,11,Copper,High,218,446.0,804,901,92.06,3.98,19,6,36.02,67.23,99.58
3097,2026-01-21 08:12:57.973205,2026-01-21,8,4,1,A,Line-2,Microchip,BATCH-5789,M-103,60.56,9,23,Pending,18.06,1019,2.0,7,Silicon,High,228,112.0,1065,234,94.23,0.64,3,3,22.02,39.9,90.74
3098,2026-03-13 13:18:57.973205,2026-03-13,13,11,3,A,Line-3,Sensor,BATCH-5236,M-103,,12,57,Pending,25.07,1050,8.0,11,Plastic,Medium,208,228.0,642,320,70.07,3.89,1,9,38.45,72.06,76.85
3099,2026-03-13 14:00:57.973205,2026-03-13,14,11,3,A,Line-2,Microchip,BATCH-4299,M-101,110.45,21,14,Pending,21.63,1044,11.0,7,Plastic,High,246,112.0,1094,458,94.22,2.27,4,8,39.92,65.22,118.02
3100,2025-09-08 20:48:57.973205,2025-09-08,20,37,9,C,Line-1,Sensor,BATCH-1484,M-103,96.41,11,103,Pending,49.86,1045,4.0,12,Plastic,Medium,225,836.0,368,533,86.03,3.99,19,10,20.76,73.41,68.24
3101,2025-07-06 14:44:57.973205,2025-07-06,14,27,7,C,Line-3,PCB,BATCH-4280,M-104,64.36,10,3,Done,20.98,1046,3.0,11,Plastic,Medium,247,807.0,449,281,62.62,3.52,5,9,33.02,31.65,111.77
3102,2026-04-08 04:39:57.973205,2026-04-08,4,15,4,B,Line-3,Sensor,BATCH-3348,M-104,,18,23,Pending,47.15,1047,5.0,6,Copper,Low,225,579.0,474,849,88.75,4.07,18,0,20.31,71.06,113.62
3103,2025-10-18 18:41:57.973205,2025-10-18,18,42,10,B,Line-2,Microchip,BATCH-7474,M-102,78.64,24,43,Pending,48.27,1019,1.0,11,Copper,High,212,736.0,811,231,95.2,4.41,11,0,20.55,38.14,92.75
3104,2025-12-25 10:42:57.973205,2025-12-25,10,52,12,A,Line-2,Microchip,BATCH-9139,M-103,76.79,21,48,Pending,47.97,1001,15.0,9,Plastic,Low,241,889.0,420,562,65.05,1.8,14,7,26.14,40.07,95.52
3105,2025-08-06 03:10:57.973205,2025-08-06,3,32,8,B,Line-3,PCB,BATCH-9501,M-102,90.07,20,75,Done,31.19,1039,10.0,8,Silicon,Low,244,903.0,501,1072,95.36,1.48,8,8,34.53,30.11,70.46
3106,2025-07-25 16:59:57.973205,2025-07-25,16,30,7,A,Line-2,PCB,BATCH-2929,M-101,106.31,18,76,Pending,21.23,1040,3.0,11,Silicon,Medium,219,821.0,517,468,94.07,4.88,18,3,33.05,67.52,67.61
3107,2025-09-28 17:37:57.973205,2025-09-28,17,39,9,A,Line-1,Microchip,BATCH-7980,M-104,70.81,13,101,Done,46.45,1019,9.0,6,Silicon,High,246,494.0,588,688,86.99,3.64,5,8,26.93,42.44,56.04
3108,2025-10-28 03:20:57.973205,2025-10-28,3,44,10,C,Line-3,PCB,BATCH-4697,M-104,70.14,9,108,Done,46.0,1050,15.0,7,Silicon,Low,248,233.0,1060,1000,87.04,4.76,14,10,23.43,49.4,77.3
3109,2025-09-04 11:50:57.973205,2025-09-04,11,36,9,B,Line-3,Sensor,BATCH-8622,M-104,108.07,19,42,Done,16.61,1045,8.0,6,Silicon,Low,224,938.0,886,280,83.71,3.2,13,0,22.11,58.3,114.27
3110,2025-09-04 22:04:57.973205,2025-09-04,22,36,9,A,Line-3,Sensor,BATCH-9987,M-101,55.23,22,87,Pending,43.76,1022,10.0,9,Copper,Low,207,872.0,694,685,92.81,2.55,2,8,35.73,65.13,63.43
3111,2025-07-10 06:44:57.973205,2025-07-10,6,28,7,A,Line-2,Microchip,BATCH-2300,M-102,93.3,24,2,Done,30.23,1003,13.0,12,Silicon,Low,222,925.0,1066,856,75.38,1.77,12,0,38.1,44.41,94.2
3112,2026-04-21 16:06:57.973205,2026-04-21,16,17,4,C,Line-1,Sensor,BATCH-3537,M-102,118.85,22,88,Pending,33.24,1027,11.0,8,Copper,Medium,239,940.0,376,977,61.4,0.97,15,2,22.48,45.78,98.4
